Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,Last Url Form,External  Reviewer,Latest External Review Report
ROMANIA,Romania,,SSA - Sovereigns,Green,2,2.14bn,,,S&P,December 2023
ROMANIAN GOVERNMENT INTERNATIONAL BOND,Romania,,SSA - Sovereigns,Green,3,0.22bn,,,S&P,December 2023
ROMERIKE SPAREBANK,Norway,,Financials - Banking,Green,2,0.08bn,,,S&P,August 2024
RONESANS HOLDING AS,Turkey,,Corporate - Industrials,Sustainability,2,0.35bn,,,ISS ESG,August 2024
ROYAL BANK OF CANADA,Canada,,Financials - Banking,Green,13,6.84bn,June 2020,https://dl.luxse.com/dl?v=VI6rWj0miK8UkhxGepEIlbCd8e9ydN3cKRl7zD5V9XFbxYurzUTzMDa+Yoirrm03lR8ikC0TqcieYIUbyaNxtRYyilGFI9RANxlIUO2H4ukof14lU+OP3Z2V23Im/AYx,Kestrel Verifiers,December 2022
"ROYAL BANK OF CANADA, LONDON",Canada,,Financials - Banking,Green,3,0.03bn,June 2020,https://dl.luxse.com/dl?v=xeX1qg646AmKbuXkynKNcX/kNCmVk0RWZGHlcIauyMhMM12aeoeBEzho6HPxuREiW/VUGNyqD/6k4eyu1rsSdQxQD5VtmU0P6Ql/aGasAAB6VIpcORRvmW8HbtABfc27,Sustainalytics,June 2020
ROYAL SCHIPHOL GROUP NV,Netherlands,,Corporate - Industrials,Green,3,1.99bn,,,V.E,March 2020
ROYALTY PHARMA PLC,United States,,Corporate - Health Care,Social,1,0.60bn,,,,
RP HYDRO KELANTAN SDN BHD,Malaysia,,Corporate - Energy,Green,31,0.21bn,February 2023,https://dl.luxse.com/dl?v=YYqdDrAQRNFFZt/11jkR89Bf/Go2U0zAqGuDN5s5rWJeCyLDj7Zi0kYpAQFPM382awuS/V6+gvsQmckf2Q/XuGqIYfbMU9I1lNjLjpvUMuTYw7O8DZZvloDdnj3afrU8,RAM,February 2023
RTE RESEAU DE TRANSPORT D'ELECTRICITE SADIR,France,,Corporate - Utilities,Green,2,1.51bn,,,V.E,November 2021
RUDONG COUNTY JINXIN TRANSPORTATION ENGINEERING CONSTRUCTION INVESTMENT CO LTD,China (mainland),,Corporate - Industrials,Green,3,0.20bn,,,Other,June 2024
RUMO LUXEMBOURG S.A.R.L.,Luxembourg,,Corporate - Industrials,Green,2,0.50bn,March 2020,https://dl.luxse.com/dl?v=J/brwmfQX0u6RtX1vmY2auZgPUYdPKyORzlkdE78M7x0jVtCVQhtkVWhc0moeg+cODe8NmiAbp8RrAYFNmB7n2nCINNNlZJlo6OicgtHTeD1whhq6Xp86wlvSas984r8,Sustainalytics,March 2020
RUMO LUXEMBOURG S.A.R.L.,Luxembourg,,Corporate - Industrials,Sustainability Linked Bonds,2,0.50bn,,,Sustainalytics,September 2021
RUSSIAN RAILWAYS VIA RZD CAPITAL PLC,Ireland,,Corporate - Industrials,Green,3,1.04bn,May 2019,https://dl.luxse.com/dl?v=wE4EZ5vZjKoeHPSJlf5z9e2XRJcqToqxMV/ktS5rOHvUvBm858piYSeZlXiJIqFa8wD5rSU1C/ZgiPEJw3LMms3/D4ezQIrPqBM9K+PPBkNwdIT287eoJjUlhEs2/1mb,CBI,February 2021
RUSSIAN RAILWAYS VIA RZD CAPITAL PLC,Ireland,,Corporate - Industrials,Social,1,0.34bn,November 2020,https://dl.luxse.com/dl?v=HL9LtQuWMfDcMAFd1S0/RVSO02Ufze8K6Lmlj9pm9AwCRrhbzOo0sAY7uBBilt5KDYndXdJwtJfrzf4+ESv7IeGI4xUgVyRB5YSxBCfgIyuIYbOtfjGyq6SQm+9uT9jh,Sustainalytics,November 2020
RWE AKTIENGESELLSCHAFT,Germany,,Corporate - Utilities,Green,8,5.87bn,June 2023,https://dl.luxse.com/dl?v=zYdzegMxzK6TrUZWcB9jRkXugPa2o20zfqj2IpdAgpE7AxRzHMja9sMa/KHecXeX4V97DUDi56OuSTSsI6ieVU6g/OAd51pFpX6CSmU7QAYhekV6WtIwkG1ArVBhT2xc,Sustainalytics,June 2023
RWE FINANCE US LLC,United States,,Corporate - Utilities,Green,4,2.00bn,June 2023,https://dl.luxse.com/dl?v=SFIdxtmcnXu8XIi5xFJQ8G7TJuTbZQcHgiB3Z2TGYex/43B2/XDAh+mSnv+sjX7I50dbdjNTlbRSMcgitnDM415veoYY5IM/VKG+AOvJZp+0tsP28CsWD2yOw1dNJjV+,Sustainalytics,June 2023
S IMMO AG,Australia,,Financials - Real estate,Green,3,0.32bn,January 2021,https://dl.luxse.com/dl?v=RBNJmM9sRH3CKcfBucOylpPLXT3rOyBc7MdOHCRZpGz7uBFeebTZ2t07lzg9VgL3kUIJV1lx0Devg9NKUzPRoF+SMILtVsQeXHRvG4cIw+UiWQHgmINqWX03EoAb39ez,Sustainalytics,January 2021
S&P GLOBAL INC,United States,,Corporate - Technology,Sustainability Linked Bonds,3,2.48bn,February 2022,https://dl.luxse.com/dl?v=i/QRwB53/8ZoOVcsa9cPzPumCkFiLtlkgUOXjhcir9OAvw3jZpfxf7sW1lsycuxFq6nARb/zct2FLqbLSJ398S0btv05SVGNlLYTAFPOuVQZ4B3z5ajG10TIRnlQJXcQ,ISS ESG,February 2022
SA SAN MIGUEL AGICI Y F,Argentina,,Corporate - Consumer Staples,Sustainability Linked Bonds,2,0.03bn,,,Fitch Ratings,July 2024
SABANA INDUSTRIAL REIT,Singapore,,Financials - Real estate,Sustainability Linked Bonds,1,0.07bn,,,DNV GL,June 2024
SACYR GREEN ENERGY MANAGEMENT FT,Spain,,Corporate - Industrials,Green,1,0.12bn,,,,
SAEL,India,,Corporate - Utilities,Green,2,0.31bn,,,Fitch Ratings,July 2024
SAGAX AB,Sweden,,Financials - Real estate,Green,1,0.54bn,,,ISS ESG,October 2023
SAGE AR FUNDING,United Kingdom,,Financials - Specialty finance,Social,7,0.29bn,September 2020,https://dl.luxse.com/dl?v=yJqizHHeB7SQp9hpRA0e4dTpKp7rA5H+mN5Q3cYDJ9eaPtCHB6Z/FEtahf6AkreWTvoERQBZzgsxOwlVdC/spSgLahkh6nJMOeJkpQblP/53NhEAhzITq0oIgQ8QXrht,Sustainalytics,September 2020
SAGE AR FUNDING,United Kingdom,,Financials - Specialty finance,Sustainability,1,0.22bn,September 2021,https://dl.luxse.com/dl?v=lGJ4dsznxPB8eSUH4WduqU/URuOkmEniYxYdBBiYHt433AYIg1qPlr2v6tVUVSxjJS5itW4v8/vdeC9tHPtvI6e4QoJFRGWB/+EjeWDmU0dSVUzWrKMBMW11NtPeU2ex,Sustainalytics,September 2021
SAIB TIER 1 SUKUK LTD,Cayman Islands,,Financials - Banking,Sustainability,1,0.75bn,,,Fitch Ratings,September 2024
SAIC-GMAC AUTOMOTIVE FINANCE CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.16bn,,,,
SAITAMA PREFECTURE,Japan,,SSA - Quasi-sovereigns,Sustainability,5,0.52bn,,,Japan Credit Rating Agency,August 2022
SALESFORCE.COM INC,United States,,Corporate - Technology,Sustainability,1,1.00bn,June 2021,https://dl.luxse.com/dl?v=DuFAiMCvcq1EFCdeXdnPXLs1oA/bV6SMAloD2LG2xxLiZh37+F9E/lbCL7ev6oFEge8uRuCp9h8+IERtmiPmaAU3dH37Gy9dSqpg3H+RFf+ZsLJQDa4ybFBL0gAIy9lo,Sustainalytics,June 2021
SALMAR ASA,Norway,,Corporate - Consumer Staples,Green,1,0.42bn,,,Cicero,April 2021
SAMAIDEN GROUP BHD,Malaysia,,Corporate - Industrials,Green,2,0.00bn,July 2024,https://dl.luxse.com/dl?v=qtTbcyfWTrvKcKOk13RfPjjWndBOuFeCibeRvesf9LCEL8cgtfVbycruQyEa4jl3h7HvUKFRV/ZF+XfY3KhM4GElNTNFpPReclN1TkhjYeScpe0IhnuKI+8iMfuyArju,RAM,July 2024
SAMHALLSBYGGNADSBOLAGET I NORDEN AB,Sweden,,Financials - Real estate,Green,4,0.11bn,,,Cicero,June 2020
SAMHALLSBYGGNADSBOLAGET I NORDEN AB,Sweden,,Financials - Real estate,Social,3,0.65bn,,,ISS ESG,November 2020
SAMRUK ENERGY,Kazakhstan,,Corporate - Utilities,Green,1,0.04bn,,,AIFC,November 2021
SAMSUNG C&T CORP,Korea,,Corporate - Industrials,Sustainability,1,0.25bn,,,Deloitte,March 2022
SAMSUNG CARD CO LTD,Korea,,Financials - Consumer Finance,Green,9,0.21bn,,,Korea Ratings,April 2024
SAMSUNG CARD CO LTD,Korea,,Financials - Consumer Finance,Sustainability,9,0.33bn,,,Deloitte,December 2020
SAMSUNG SECURITIES CO LTD,Korea,,Financials - Financial services,Green,1,0.09bn,,,NICE,February 2021
SAMTY RESIDENTIAL INVESTMENT CORP,Japan,,Financials - Real estate,Green,1,0.01bn,,,Japan Credit Rating Agency,November 2022
SAMUNNATI FINANCIAL INTERMEDIATION & SERVICES PVT LTD,India,,Financials - Consumer Finance,Green,1,0.01bn,,,,
SAN DIEGO GAS AND ELECTRIC,United States,,Corporate - Utilities,Green,2,1.35bn,,,V.E,August 2021
SAN MIGUEL INDUSTRIAS PET S.A.,Peru,,Corporate - Materials,Sustainability Linked Bonds,2,0.38bn,,,ISS ESG,July 2021
SAN SHUI INTERNATIONAL DEVELOPMENT CO LTD,China (Hong Kong),,Corporate - Industrials,Green,1,0.03bn,,,,
SANGUINE SECURITIES SARL,Luxembourg,,Financials - Consumer Finance,Green,1,0.55bn,,,Sustainalytics,February 2022
SANKEN ELECTRIC CO. LTD,Japan,,Corporate - Technology,Green,1,0.04bn,February 2022,,R&I,February 2022
SANMING INVESTMENT DEVELOPMENT GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.03bn,,,,
SANOFI,France,,Corporate - Health Care,Sustainability Linked Bonds,1,0.72bn,,,ISS ESG,December 2021
SANOMA OYJ,Finland,,Corporate - Communications,Social,1,0.17bn,,,ISS ESG,May 2024
SANTANDER BANK POLSKA SA,Poland,,Financials - Banking,Sustainability,1,0.44bn,December 2021,https://dl.luxse.com/dl?v=6v1m/XTfthlCz62EYG83KvRgPIJ22QKYn/NOraM+nMM37dr0vYtBFbk34K9uR6qd/bmm/k7b0r8ThNJft4XiDejmBmnskRM5f8LE+KDyKXWYBT8OTd+m2D16+09wDqim,Sustainalytics,December 2021
SANTANDER CONSUMER BANK AS,Norway,,Financials - Banking,Green,5,0.22bn,February 2022,https://dl.luxse.com/dl?v=Zvh1/M8lggOQWYihmA6YptRWDGBZQVjXnJOK5pdf10kH3DVh5Prptbn2+a9jQjVU8GAKD9ZngrY6i2DxLsXHY+dQCafwESuJbnTbBr1l/KY/7dvPkF/bFVxY9IXqB1C8,Sustainalytics,February 2022
"SANTANDER HOLDINGS USA, INC.",United States,,Financials - Banking,Sustainability,1,0.50bn,February 2022,https://dl.luxse.com/dl?v=6NmI1dQeIcsnKAoXgFsRn5uDfKQlMzz1jFYP0QLCfBzBvsvXooeiewbId5MK5XGtzfUlqYWpSI6zIJ0J4UKTxNcrH2pMJAc5p4dYPI1f70jrJx8Vc7KeHE4B+2nX78Yl,Sustainalytics,February 2022
SAO GABRIEL SANEAMENTO SA,Brazil,,Corporate - Utilities,Sustainability,1,0.01bn,December 2022,https://dl.luxse.com/dl?v=mfQ5UnTFxDhfS3ctS+NsQjIMIld1W/1n+sLGGGY8H2jCfzIn8Vnh1iTw4q1rvutnX94pBXU9sImqE2RWsNX6Uxwbc8CEw69ys4+A/DSTZxQv4XRGOxwzzicXQgX/CR4I,Other,December 2022
SAO MARTINHO SA,Brazil,,Corporate - Energy,Green,2,0.21bn,,,S&P,December 2021
SAPPI SOUTHERN AFRICA LTD,South Africa,,Corporate - Materials,Sustainability Linked Bonds,1,0.03bn,,,ISS ESG,March 2024
SARANA MULTIGRIYA FINANSIAL PERSERO PT,Indonesia,,Financials - Consumer Finance,Social,5,0.34bn,October 2023,https://dl.luxse.com/dl?v=Pg0SHB/+EyhCoyCk1isE5z9DWToP6KXi0z+3pLEAZSlLibuf4saTJooxIUtVyfHr3VzWiMRazLkV6fd241q9+urXumj2DIrIhstPt3pLUE/8Ze6kZJRJcnMI1D3vbwkW,DNV GL,October 2023
SATO OYJ,Finland,,Financials - Real estate,Green,1,0.42bn,March 2020,https://dl.luxse.com/dl?v=A3yZ1uGk3ruvDuIjlv1JQOufmDl/hZIbkpx7d/0/hLhx2sQHh5dJUnXkWcKvrX8eScUxqOcnwQWjrL9I6dj90iv8wmNzYtVjYt0a3LJpfWWuXmnTyK90N+bm2l3PC/Kh,Cicero,March 2020
SAUDI ELECTRICITY GLOBAL SUKUK CO 5,Cayman Islands,,Corporate - Utilities,Green,2,1.30bn,,,V.E,June 2020
SAUDI ELECTRICITY SUKUK PROGRAMME CO,Saudi Arabia,,Corporate - Utilities,Green,1,1.20bn,,,,
SAWAI GROUP HOLDINGS CO LTD,Japan,,Corporate - Health Care,Social,1,0.06bn,,,R&I,April 2024
SBAB BANK AB,Sweden,,Financials - Banking,Green,10,4.04bn,,,Sustainalytics,March 2024
SBB TREASURY OYJ,Finland,,Corporate - Consumer Discretionary,Social,3,2.25bn,,,ISS ESG,November 2020
SCALA DATA CENTERS SA,Brazil,,Corporate - Communications,Green,2,0.59bn,,,Sustainalytics,December 2022
SCANDINAVIAN BIOGAS FUELS INTERNATIONAL AB,Sweden,,Corporate - Utilities,Green,1,0.08bn,,,,
SCANIA CV AB (PUBL),Sweden,,Corporate - Industrials,Green,2,0.19bn,,,Cicero,September 2020
SCATEC ASA,Norway,,Corporate - Utilities,Green,3,0.57bn,February 2021,https://dl.luxse.com/dl?v=IXHiTizQQ9uR56Kxv4MKAgdUg294s/sAlnC0Cvfks48IxS0W7yePGyqdGBCAmvX4ZXL8laGCXGL1cCmuitvzTc9CTdIr4gm/SPDV9KufomWvpIpaXBwhnBfI2HPaXjmE,Cicero,February 2021
SCE RECOVERY FUNDING LLC,United States,,Corporate - Utilities,Green,5,1.31bn,,,Moody's,April 2023
SCHNEIDER ELECTRIC SE,France,,Corporate - Industrials,Sustainability Linked Bonds,1,0.77bn,,,V.E,November 2020
SCIENCE CITY GUANGZHOU INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Materials,Green,1,0.40bn,,,Fitch Ratings,January 2024
SCOTIABANK CHILE SA,Chile,,Financials - Banking,Green,1,0.03bn,June 2021,https://dl.luxse.com/dl?v=RZlaa1JyCFktNTkawG2zElmhn0wb//jb2F8HqMRBrrdsotWBcd/SCBWQodWXXAkdcmF1DchlAciFY7/BJrp7GVpEW0X4nrw8K28xSP0Hr9COtfRqhx1GdjB11Hkl69y9,Sustainalytics,June 2021
SCOTIABANK INVERLAT SA,Mexico,,Financials - Banking,Green,3,0.45bn,,,Moody's,April 2024
SCOTTISH HYDRO ELECTRIC TRANSMISSION PLC,United Kingdom,,Corporate - Utilities,Green,5,2.71bn,,,DNV GL,August 2023
SCSK CORP,Japan,,Corporate - Technology,Green,1,0.05bn,February 2021,https://dl.luxse.com/dl?v=l765Y+4Trzf4pExKZVwpW68U5cj+gxD4ioeq6M7FG1VpejeAFbHUg5dMqZv8tcr9dcVAKwzPisYIfZO16UiQkcSfbHglLC+Q908LrDViofqCQLt+jXGnacmvJ9Ukkifa,Sustainalytics,February 2021
SDIPTECH AB,Sweden,,Corporate - Technology,Sustainability Linked Bonds,1,0.05bn,,,ISS ESG,March 2022
SEASPAN CORP,China (Hong Kong),,Corporate - Industrials,Green,2,0.75bn,June 2021,https://dl.luxse.com/dl?v=Ua8BYHf18VJ4poOcmUGfzXy8mvDkaIz3NC6pJZewU5QsagP1P0Q0wzA+dvvd1U9IJvZEkr451/JcAfGBT/mOxnYOMRpuXmlRniyq2xn4t+9zlW18rxGe7QwQk0v2PHP/,Sustainalytics,June 2021
SEASPAN CORP,China (Hong Kong),,Corporate - Industrials,Sustainability Linked Bonds,1,0.30bn,,,Sustainalytics,April 2021
SECHE ENVIRONNEMENT SA,France,,Corporate - Industrials,Sustainability Linked Bonds,1,0.35bn,,,S&P,October 2021
SECIL - CIA GERAL DE CAL E CIMENTO SA / CMP - CIMENTOS MACEIRA E PATAIAS SA,Portugal,,Corporate - Materials,Green,2,0.08bn,January 2023,https://dl.luxse.com/dl?v=ZTBWhRUi3TFY05znvGhvipcsEw1EQrZVnYR5uGBnL7zpP3l2s9+yX5G6JFPCnD5pQ0EP6rRZGO5nkoYXjpAwKfNOz+7JT4Hbqd6z6TRGc9kmKlUbDfNDSDNHEv1XHhLW,KPMG,January 2023
SEEVIERTEL GMUNDEN HOTEL HOLDING GMBH,Austria,,Financials - Real estate,Green,1,0.01bn,May 2024,https://dl.luxse.com/dl?v=Sqj17/2Bh9hbQzj39ELPqh8f3N8nB47n0Vlxp2vNphKXm9ifpKOHw0zPOVoVtjMAps0z1rjNcD1MWhrOBzyuJpo+kbDsVXUJM1ZgBo+sNP3ZnElBiAQPozEdqoFSs+N2,Other,May 2024
SEGI ASTANA SDN BHD,Malaysia,,Financials - Real estate,Green,3,0.05bn,November 2017,https://dl.luxse.com/dl?v=Sg3GYJ/aS/m+jo2rhRxft6EEkLg5VVnE2qkFt+22yJsRNSG0IgiFtbwYOTo/H81ccqnXNgQKWd5cU9MLu0PAgu4xJdVaiU1Cr9n2w7KQHer/IVHpxOk2eey05ozaZjvA,RAM,November 2017
SEGRO CAPITAL SARL,Luxembourg,,Financials - Real estate,Green,3,1.85bn,,,DNV GL,May 2021
SEHLHALL FASTIGHETER AB,Sweden,,Financials - Real estate,Sustainability,1,0.02bn,,,ISS ESG,April 2022
SEIBU HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Green,2,0.18bn,June 2021,https://dl.luxse.com/dl?v=IzRI2n5mja6hEBzWzYlz408Oqt1GwDbpiguz+Ixzepsmj2OEDUg6bIGJTe0QwrX21ikDUl4mRgwt+Tto6nkVVws+FCarR1wRLPIhDQ79YSagKa1qb8Or3i9O5NDSLzQZ,Japan Credit Rating Agency,December 2019
SEIKO EPSON CORP,Japan,,Corporate - Technology,Green,2,0.55bn,December 2019,https://dl.luxse.com/dl?v=NGP+5NdyDNeLJuWzZICQNaMXnT0BepIXrh1IWYYv5frYNIBCX8J2W3kyBERCHRwXa5pti213BooXhLLHefW3Kal/bmt2p/qzmgYGUzoFDslnEFCAqGXKTwSQ+KHd7R9C,R&I,July 2020
SEKISUI HOUSE REIT INC,Japan,,Financials - Real estate,Green,7,0.17bn,November 2018,https://dl.luxse.com/dl?v=9yBauB+mv9VwlqPEJNLZ1j+8VgjYAopI8iKNkeg2hW5E93FZ9x4sXwsnjmHeRtCIl9vGCiEQZ6kEv5iCOI6AJx5FXm3QmEByZwpuMQer66ejs3fdYjmdFvGJDvJXrNCI,Japan Credit Rating Agency,October 2024
SELF STORAGE MANAGEMENT S DE RL DE CV,Mexico,,Financials - Real estate,Green,2,0.08bn,,,HR Rating,April 2021
SELP FINANCE SARL,Luxembourg,,Financials - Real estate,Green,2,1.38bn,,,DNV GL,May 2021
SEMBCORP INDUSTRIES LTD,Singapore,,Financials - Financial services,Green,3,0.83bn,,,EY,October 2024
SEMBCORP INDUSTRIES LTD,Singapore,,Financials - Financial services,Sustainability Linked Bonds,2,0.72bn,,,DNV GL,August 2021
SENKO GROUP HOLDINGS CO LTD,Japan,,Corporate - Industrials,Green,2,0.19bn,September 2020,https://dl.luxse.com/dl?v=Ivoepf7JuC/tO+OOq0JuFs7MnuSnETQwVJ/ZmyPqMjxBjk8TTIMfQRzy8tgqaoAvs6njxt+P+WaE+8QxPC5Vg8ZlX4BmurTtox0QgT8gw76Y2j8keCIe+bu68WwApodr,R&I,September 2020
SEOUL HOUSING & COMMUNITIES CORP,Korea,,SSA - Quasi-sovereigns,Green,5,0.43bn,,,NICE,November 2024
SEOULMETRO,Korea,,SSA - Quasi-sovereigns,Sustainability,1,0.19bn,,,,
SEP RESOURCES M SDN BHD,Malaysia,,Financials - Financial services,Sustainability,12,0.04bn,,,RAM,July 2024
SERBIA (THE REPUBLIC OF),Serbia,,SSA - Sovereigns,Green,2,1.18bn,,,ISS ESG,September 2021
SERBIA (THE REPUBLIC OF),Serbia,,SSA - Sovereigns,Sustainability,2,1.50bn,,,ISS ESG,May 2024
SEVERN TRENT UTILITIES FINANCE PLC,United Kingdom,,Corporate - Utilities,Sustainability,6,3.04bn,,,DNV GL,July 2022
SFIL SA,France,,SSA - Quasi-sovereigns,Green,3,2.51bn,October 2022,https://dl.luxse.com/dl?v=+81+NxkDGIMbHzvzGRbV9XKVzgjeSAH4J3RQY2bYWIXNGWI4EBM78wL4niDv/eFPb2N/e5pcNA1Is4zXxaQG/AKMOf1YYhz5LitjNSFI8iMclyYHzyH4fT2xzTCpKGW3,Sustainalytics,October 2022
SFL CORP LTD,Norway,,Corporate - Industrials,Sustainability Linked Bonds,3,0.45bn,,,The Governance Group,April 2021
SG ISSUER,Luxembourg,,Financials - Financial services,Sustainability,28,1.14bn,,,ISS ESG,November 2021
SGSP AUSTRALIA ASSETS PTY LTD,Australia,,Corporate - Utilities,Green,2,0.32bn,July 2021,https://dl.luxse.com/dl?v=Qh7ZAjAWgQad+F6Yr53LkXvnj+ujJW8c4UYiAxfsP8bso2XJq/GrTNlUDkcYGfu1gUHa1rN+UrYseLbKY/jlZ6UFVUfHFx33DhnxYl7UT0Y+F7sbiBQsvB/6Y5NutJfg,Sustainalytics,July 2021
SHAANXI COAL AND CHEMICAL INDUSTRY GROUP CO LTD,China (mainland),,Corporate - Energy,Sustainability Linked Bonds,1,0.16bn,,,Other,April 2022
SHAANXI YUSHEN ENERGY DEVELOPMENT & CONSTRUCTION GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.09bn,,,,
SHANDONG DEVELOPMENT INVESTMENT HOLDING GROUP CO LTD,China (mainland),,Financials - Financial services,Green,1,0.07bn,,,China Lianhe,October 2022
SHANDONG ENERGY CO LTD,China (mainland),,Corporate - Energy,Green,2,0.22bn,,,SynTao Green Finance,January 2023
SHANDONG GOLD GROUP CO LTD,China (Hong Kong),,Corporate - Materials,Sustainability Linked Bonds,1,0.15bn,,,China Lianhe,April 2023
SHANDONG PUBLIC HOLDINGS CO LTD,China (mainland),,Corporate - Industrials,Sustainability Linked Bonds,1,0.07bn,,,China Lianhe,February 2023
SHANGHAI COMMERCIAL & SAVINGS BANK LTD/THE,Taiwan,,Financials - Banking,Green,1,0.03bn,,,KPMG,August 2022
SHANGHAI COMMERCIAL & SAVINGS BANK LTD/THE,Taiwan,,Financials - Banking,Sustainability,1,0.06bn,,,KPMG,August 2023
SHANGHAI PUDONG CONSTRUCTION CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.15bn,,,,
SHANGHAI PUDONG DEVELOPMENT BANK CO LTD,China (mainland),,Financials - Banking,Green,1,4.34bn,September 2019,https://dl.luxse.com/dl?v=lNDjMpRK5lmlWjKPcV20SSBaT/Sfc36vmtYuThoDTTXvE2iBDggEwSzQsK2cIZMztQy297r5nobxiy5y/b4Lohy1kX5X6VA/LZG/5rJK9F4HvdkM2EUmiVbdzNS9q/uM,Sustainalytics,December 2019
SHANGHAI PUDONG DEVELOPMENT BANK CO LTD/LONDON,China (mainland),,Financials - Banking,Green,1,0.40bn,September 2019,https://dl.luxse.com/dl?v=PxvF3aKF0MoG5Mri1UQe3MU+HgDHzpWx5XQrF/NijSnhxd0UXorm1LM4HZr5QJQwEpTNI9rjTJo8glZKU5nlHMqV0rxh7A1V8/LaAIOLEyqprdnkTyRQyBSDHEG+gWaF,Sustainalytics,December 2019
SHANGRAO INVESTMENT HOLDINGS INTERNATIONAL CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.12bn,,,S&P,November 2022
SHANGRAO URBAN OPERATION HOLDING GROUP CO LTD,China (mainland),,Corporate - Industrials,Sustainability,2,0.17bn,,,,
SHANGYU DISTRICT SHAOXING MUNICIPAL WATER GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.03bn,,,,
SHANHAI HONG KONG INTERNATIONAL INVESTMENTS LTD,China (Hong Kong),,Corporate - Industrials,Green,2,0.37bn,,,S&P,June 2022
SHANXI CONSTRUCTION INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.07bn,,,,
SHAOXING SHANGYU STATE-OWNED CAPITAL INVESTMENT OPERATION CO LTD,China (mainland),,Corporate - Industrials,Sustainability,2,0.60bn,,,S&P,September 2022
SHENERGY CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.14bn,,,China Lianhe,March 2022
SHENGCHENG CULTURE AND TOURISM GROUP INTERNATIONAL TRADE CO LTD,China (Hong Kong),,Corporate - Communications,Green,3,0.09bn,,,China Lianhe,August 2024
SHENZHEN ENERGY GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.46bn,,,,
SHENZHEN FUTIAN INVESTMENT HOLDINGS CO LTD,China (mainland),,Financials - Financial services,Sustainability,1,0.42bn,,,Fitch Ratings,September 2024
SHENZHEN METRO GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.23bn,,,,
SHIGA PREFECTURE,Japan,,SSA - Quasi-sovereigns,Sustainability Linked Bonds,2,0.06bn,,,Japan Credit Rating Agency,March 2022
SHIKOKU ELECTRIC POWER COMPANY INCORPORATION,Japan,,Corporate - Utilities,Green,2,0.13bn,September 2022,https://dl.luxse.com/dl?v=tN34uoDbmX0E4CAWYql2dv12+SofcefBohhh3OlrWrNuiOqBfEE+Ks9wYTPhphPloXXmmFaF/3Tof2WAJM6bJLs/EEpbxN6D5keLyadxSrFEhLvro8yN953RI9SDqmck,DNV GL,September 2022
SHIMAO GROUP HOLDINGS LTD,China (Hong Kong),,Financials - Real estate,Green,1,0.75bn,January 2021,https://dl.luxse.com/dl?v=Qh7ZAjAWgQad+F6Yr53LkUUfpQlFub11eGM6d4UEFke+IuJtiLo64hod5Cb0UMgpCbH8n6GL+YUYpx2GIPvOAJ4OTZz7QVI1leUJ4HyJXhWkuhcvwbfDE8zecPNwYLky,Sustainalytics,January 2021
SHIMIZU CORP,Japan,,Corporate - Industrials,Green,2,0.14bn,December 2019,https://dl.luxse.com/dl?v=tduU0NK6WTknjtmwWUqhewzlWctfv9o7XPWPFSuY2imWCmVDisvZjlHB//tOEfGxE/0xZTKGhE80QZjWpZZ+r2UEog2u6GZ8oq39VTHkHv3178jCliTY4p9kOYobXggQ,R&I,October 2023
SHIMIZU CORP,Japan,,Corporate - Industrials,Sustainability,2,0.24bn,January 2023,https://dl.luxse.com/dl?v=KvYKQgUWsFYggAZFsYKyCd9cQOap3tCZ+cirjQ6nc8G4HaV7De2tRJ7tTQRjSIKO4WxvBeCxUtMmMPJjyCgKGGcdVDG4gJknKGcCmpVljfuxOPdVkDkaJOpCgUCsXr55,R&I,January 2023
SHINHAN BANK CO LTD,Korea,,Financials - Banking,Green,8,2.24bn,March 2022,https://dl.luxse.com/dl?v=waNgpee1o3dsnNh4NbSrCBp195Y+FCXrftgwuDjGVmgb54hXyKx8a0viu9Z955S0edU2mD4S6AO3x8vQQMf8b2sujZDmNdJ+WRicTh9/57BEYJijQCMgyihA/C4vw54B,Other,July 2024
SHINHAN BANK CO LTD,Korea,,Financials - Banking,Social,12,2.65bn,March 2022,https://dl.luxse.com/dl?v=sm0rv/5RFNrwAm1mj5f3+sKA/mgHrQQwNSlWcTcqajhsCtnQ2EbJvqgH5/gfd3Cf0nklWXmo7Z9eo9zUo4raKQo3OTGOPJoZEYJ83HI9cIZRwjLwU8qGnKxyNsebfyTd,Moody's,November 2024
